Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-04-09 09:26:20.6572;624;582f54678fd7924a92437193df810956;anonymous;0.7868;ReceivingData
Sample;2021-04-09 09:26:20.7839;640;582f54678fd7924a92437193df810956;anonymous;0.8097;ReceivingData
Sample;2021-04-09 09:26:20.7908;641;582f54678fd7924a92437193df810956;anonymous;0.8053;ReceivingData
Sample;2021-04-09 09:26:20.9095;656;582f54678fd7924a92437193df810956;anonymous;0.7959;ReceivingData
Sample;2021-04-09 09:26:20.9175;657;582f54678fd7924a92437193df810956;anonymous;0.7893;ReceivingData
Sample;2021-04-09 09:26:21.0388;672;582f54678fd7924a92437193df810956;anonymous;0.7667;ReceivingData
Sample;2021-04-09 09:26:21.0458;673;582f54678fd7924a92437193df810956;anonymous;0.7707;ReceivingData
Sample;2021-04-09 09:26:21.1694;687;582f54678fd7924a92437193df810956;anonymous;0.7792;ReceivingData
Sample;2021-04-09 09:26:21.1774;688;582f54678fd7924a92437193df810956;anonymous;0.7859;ReceivingData
Sample;2021-04-09 09:26:21.3230;706;582f54678fd7924a92437193df810956;anonymous;0.7460;ReceivingData
Sample;2021-04-09 09:26:21.3280;707;582f54678fd7924a92437193df810956;anonymous;0.7391;ReceivingData
Sample;2021-04-09 09:26:21.3380;708;582f54678fd7924a92437193df810956;anonymous;0.7704;ReceivingData
Sample;2021-04-09 09:26:21.4133;717;582f54678fd7924a92437193df810956;anonymous;0.7980;ReceivingData
Sample;2021-04-09 09:26:21.4203;718;582f54678fd7924a92437193df810956;anonymous;0.8097;ReceivingData
Sample;2021-04-09 09:26:21.5417;733;582f54678fd7924a92437193df810956;anonymous;0.8437;ReceivingData
Sample;2021-04-09 09:26:21.5477;734;582f54678fd7924a92437193df810956;anonymous;0.8182;ReceivingData
Sample;2021-04-09 09:26:21.6861;753;582f54678fd7924a92437193df810956;anonymous;0.7677;ReceivingData
Sample;2021-04-09 09:26:21.6941;754;582f54678fd7924a92437193df810956;anonymous;0.6930;ReceivingData
Sample;2021-04-09 09:26:21.8028;768;582f54678fd7924a92437193df810956;anonymous;0.6715;ReceivingData
Sample;2021-04-09 09:26:21.8107;769;582f54678fd7924a92437193df810956;anonymous;0.7041;ReceivingData
Sample;2021-04-09 09:26:21.9400;785;582f54678fd7924a92437193df810956;anonymous;0.7536;ReceivingData
Sample;2021-04-09 09:26:21.9460;786;582f54678fd7924a92437193df810956;anonymous;0.7499;ReceivingData
Sample;2021-04-09 09:26:22.0606;801;582f54678fd7924a92437193df810956;anonymous;0.7422;ReceivingData
Sample;2021-04-09 09:26:22.0706;802;582f54678fd7924a92437193df810956;anonymous;0.7443;ReceivingData
Sample;2021-04-09 09:26:22.1857;817;582f54678fd7924a92437193df810956;anonymous;0.6537;ReceivingData
Sample;2021-04-09 09:26:22.1927;818;582f54678fd7924a92437193df810956;anonymous;0.6843;ReceivingData
Sample;2021-04-09 09:26:22.2017;819;582f54678fd7924a92437193df810956;anonymous;0.7373;ReceivingData
Sample;2021-04-09 09:26:22.3074;833;582f54678fd7924a92437193df810956;anonymous;0.7285;ReceivingData
Sample;2021-04-09 09:26:22.3154;834;582f54678fd7924a92437193df810956;anonymous;0.7226;ReceivingData
Sample;2021-04-09 09:26:22.4599;852;582f54678fd7924a92437193df810956;anonymous;0.6364;ReceivingData
Sample;2021-04-09 09:26:22.4698;853;582f54678fd7924a92437193df810956;anonymous;0.6366;ReceivingData
Sample;2021-04-09 09:26:22.5649;865;582f54678fd7924a92437193df810956;anonymous;0.5202;ReceivingData
Sample;2021-04-09 09:26:22.5689;866;582f54678fd7924a92437193df810956;anonymous;0.5199;ReceivingData
Sample;2021-04-09 09:26:22.7038;883;582f54678fd7924a92437193df810956;anonymous;0.5723;ReceivingData
Sample;2021-04-09 09:26:22.7122;884;582f54678fd7924a92437193df810956;anonymous;0.6050;ReceivingData
Sample;2021-04-09 09:26:22.8330;899;582f54678fd7924a92437193df810956;anonymous;0.5834;ReceivingData
Sample;2021-04-09 09:26:22.8410;900;582f54678fd7924a92437193df810956;anonymous;0.6113;ReceivingData
Sample;2021-04-09 09:26:22.9494;913;582f54678fd7924a92437193df810956;anonymous;0.6292;ReceivingData
Sample;2021-04-09 09:26:22.9563;914;582f54678fd7924a92437193df810956;anonymous;0.6528;ReceivingData
Sample;2021-04-09 09:26:23.0880;931;582f54678fd7924a92437193df810956;anonymous;0.6268;ReceivingData
Sample;2021-04-09 09:26:23.0980;932;582f54678fd7924a92437193df810956;anonymous;0.6193;ReceivingData
Sample;2021-04-09 09:26:23.2067;946;582f54678fd7924a92437193df810956;anonymous;0.6603;ReceivingData
Sample;2021-04-09 09:26:23.2144;947;582f54678fd7924a92437193df810956;anonymous;0.7135;ReceivingData
Sample;2021-04-09 09:26:23.2224;948;582f54678fd7924a92437193df810956;anonymous;0.7245;ReceivingData
Sample;2021-04-09 09:26:23.3351;962;582f54678fd7924a92437193df810956;anonymous;0.7415;ReceivingData
Sample;2021-04-09 09:26:23.3411;963;582f54678fd7924a92437193df810956;anonymous;0.7187;ReceivingData
Sample;2021-04-09 09:26:23.4649;978;582f54678fd7924a92437193df810956;anonymous;0.6992;ReceivingData
Sample;2021-04-09 09:26:23.4734;979;582f54678fd7924a92437193df810956;anonymous;0.6977;ReceivingData
Sample;2021-04-09 09:26:23.5891;994;582f54678fd7924a92437193df810956;anonymous;0.6706;ReceivingData
Sample;2021-04-09 09:26:23.5960;995;582f54678fd7924a92437193df810956;anonymous;0.5655;ReceivingData
Sample;2021-04-09 09:26:23.7237;1011;582f54678fd7924a92437193df810956;anonymous;0.6307;ReceivingData
Sample;2021-04-09 09:26:23.7277;1012;582f54678fd7924a92437193df810956;anonymous;0.6326;ReceivingData
Sample;2021-04-09 09:26:23.8497;1027;582f54678fd7924a92437193df810956;anonymous;0.6296;ReceivingData
Sample;2021-04-09 09:26:23.8580;1028;582f54678fd7924a92437193df810956;anonymous;0.6431;ReceivingData
Sample;2021-04-09 09:26:23.9837;1044;582f54678fd7924a92437193df810956;anonymous;0.6216;ReceivingData
Sample;2021-04-09 09:26:23.9927;1045;582f54678fd7924a92437193df810956;anonymous;0.6244;ReceivingData
Sample;2021-04-09 09:26:24.1007;1058;582f54678fd7924a92437193df810956;anonymous;0.6264;ReceivingData
Sample;2021-04-09 09:26:24.1073;1059;582f54678fd7924a92437193df810956;anonymous;0.6130;ReceivingData
Sample;2021-04-09 09:26:24.1172;1060;582f54678fd7924a92437193df810956;anonymous;0.5332;ReceivingData
Sample;2021-04-09 09:26:24.2399;1075;582f54678fd7924a92437193df810956;anonymous;0.5243;ReceivingData
Sample;2021-04-09 09:26:24.2459;1076;582f54678fd7924a92437193df810956;anonymous;0.5512;ReceivingData
Sample;2021-04-09 09:26:24.3576;1090;582f54678fd7924a92437193df810956;anonymous;0.5070;ReceivingData
Sample;2021-04-09 09:26:24.3666;1091;582f54678fd7924a92437193df810956;anonymous;0.5422;ReceivingData
Sample;2021-04-09 09:26:24.4925;1106;582f54678fd7924a92437193df810956;anonymous;0.5430;ReceivingData
Sample;2021-04-09 09:26:24.5002;1107;582f54678fd7924a92437193df810956;anonymous;0.5518;ReceivingData
Sample;2021-04-09 09:26:24.6078;1120;582f54678fd7924a92437193df810956;anonymous;0.5868;ReceivingData
Sample;2021-04-09 09:26:24.6178;1121;582f54678fd7924a92437193df810956;anonymous;0.5645;ReceivingData
Sample;2021-04-09 09:26:24.7531;1138;582f54678fd7924a92437193df810956;anonymous;0.5570;ReceivingData
Sample;2021-04-09 09:26:24.7611;1139;582f54678fd7924a92437193df810956;anonymous;0.5293;ReceivingData
Sample;2021-04-09 09:26:24.8626;1152;582f54678fd7924a92437193df810956;anonymous;0.4883;ReceivingData
Sample;2021-04-09 09:26:24.8719;1153;582f54678fd7924a92437193df810956;anonymous;0.4851;ReceivingData
Sample;2021-04-09 09:26:25.0058;1169;582f54678fd7924a92437193df810956;anonymous;0.4553;ReceivingData
Sample;2021-04-09 09:26:25.0108;1170;582f54678fd7924a92437193df810956;anonymous;0.4487;ReceivingData
Sample;2021-04-09 09:26:25.1377;1186;582f54678fd7924a92437193df810956;anonymous;0.4962;ReceivingData
Sample;2021-04-09 09:26:25.1437;1187;582f54678fd7924a92437193df810956;anonymous;0.5559;ReceivingData
Sample;2021-04-09 09:26:25.1527;1188;582f54678fd7924a92437193df810956;anonymous;0.6021;ReceivingData
Sample;2021-04-09 09:26:25.2424;1200;582f54678fd7924a92437193df810956;anonymous;0.6618;ReceivingData
Sample;2021-04-09 09:26:25.2514;1201;582f54678fd7924a92437193df810956;anonymous;0.6729;ReceivingData
Sample;2021-04-09 09:26:25.3727;1216;582f54678fd7924a92437193df810956;anonymous;0.6842;ReceivingData
Sample;2021-04-09 09:26:25.3816;1217;582f54678fd7924a92437193df810956;anonymous;0.7113;ReceivingData
Sample;2021-04-09 09:26:25.5131;1233;582f54678fd7924a92437193df810956;anonymous;0.7097;ReceivingData
Sample;2021-04-09 09:26:25.5221;1234;582f54678fd7924a92437193df810956;anonymous;0.7397;ReceivingData
Sample;2021-04-09 09:26:25.6368;1248;582f54678fd7924a92437193df810956;anonymous;0.7371;ReceivingData
Sample;2021-04-09 09:26:25.6457;1249;582f54678fd7924a92437193df810956;anonymous;0.7422;ReceivingData
Sample;2021-04-09 09:26:25.7594;1264;582f54678fd7924a92437193df810956;anonymous;0.7082;ReceivingData
Sample;2021-04-09 09:26:25.7664;1265;582f54678fd7924a92437193df810956;anonymous;0.6965;ReceivingData
Sample;2021-04-09 09:26:25.9050;1282;582f54678fd7924a92437193df810956;anonymous;0.7071;ReceivingData
Sample;2021-04-09 09:26:25.9100;1283;582f54678fd7924a92437193df810956;anonymous;0.7261;ReceivingData
Sample;2021-04-09 09:26:26.0254;1297;582f54678fd7924a92437193df810956;anonymous;0.7417;ReceivingData
